time,theta
0.0000,0.5000
0.5051,0.0000
1.0101,0.0000
1.5152,0.0000
2.0202,0.0000
2.5253,0.0000
3.0303,0.0000
3.5354,0.0000
4.0404,0.0000
4.5455,0.0000
5.0505,0.0000
5.5556,0.0000
6.0606,0.0000
6.5657,0.0000
7.0707,0.0000
7.5758,0.0000
8.0808,0.0000
8.5859,0.0000
9.0909,0.0000
9.5960,0.0000
10.1010,0.0000
10.6061,0.0000
11.1111,0.0000
11.6162,0.0000
12.1212,0.0000
12.6263,0.0000
13.1313,0.0000
13.6364,0.0000
14.1414,0.0000
14.6465,0.0000
15.1515,0.0000
15.6566,0.0000
16.1616,0.0000
16.6667,0.0000
17.1717,0.0000
17.6768,0.0000
18.1818,0.0000
18.6869,0.0000
19.1919,0.0000
19.6970,0.0000
20.2020,0.0000
20.7071,0.0000
21.2121,0.0000
21.7172,0.0000
22.2222,0.0000
22.7273,0.0000
23.2323,0.0000
23.7374,0.0000
24.2424,0.0000
24.7475,0.0000
25.2525,0.0000
25.7576,0.0000
26.2626,0.0000
26.7677,0.0000
27.2727,0.0000
27.7778,0.0000
28.2828,0.0000
28.7879,0.0000
29.2929,0.0000
29.7980,0.0000
30.3030,0.0000
30.8081,0.0000
31.3131,0.0000
31.8182,0.0000
32.3232,0.0000
32.8283,0.0000
33.3333,0.0000
33.8384,0.0000
34.3434,0.0000
34.8485,0.0000
35.3535,0.0000
35.8586,0.0000
36.3636,0.0000
36.8687,0.0000
37.3737,0.0000
37.8788,0.0000
38.3838,0.0000
38.8889,0.0000
39.3939,0.0000
39.8990,0.0000
40.4040,0.0000
40.9091,0.0000
41.4141,0.0000
41.9192,0.0000
42.4242,0.0000
42.9293,0.0000
43.4343,0.0000
43.9394,0.0000
44.4444,0.0000
44.9495,0.0000
45.4545,0.0000
45.9596,0.0000
46.4646,0.0000
46.9697,0.0000
47.4747,0.0000
47.9798,0.0000
48.4848,0.0000
48.9899,0.0000
49.4949,0.0000
50.0000,0.0000
