trace	total.br.len	tree.height
mean	138.799989283285	46.7792584232852
stderr.of.mean	0.117156767735547	0.012466180809336
stdev	3.88262361465468	0.497341482180544
variance	15.0747661330742	0.24734854989754
median	138.714403341748	46.7210522702063
mode	numeric	numeric
geometric.mean	138.745903732662	46.7766309592985
HPD95.lower	130.959781781079	46.014088776395
HPD95.upper	145.717783669956	47.7223595206905
ACT	NA	NA
ESS	1098.89744192609	1592.5162302274
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
