simulation	true.val	mean	HPD95.lower	HPD95.upper	stdev	ESS	is.in
al2_0	0.14369540492977445	0.137039311909696	0.118678900141723	0.157011729041942	0.0101079426249382	1801	TRUE
al2_1	0.22835880798175065	0.218403786161975	0.189201433098083	0.249165515951229	0.0153906391233986	1801	TRUE
al2_10	0.19967334212325355	0.196180425397179	0.15325186390043	0.237633083778521	0.0214223045895436	1602.27855428302	TRUE
al2_100	0.3571819572200238	0.370682057523072	0.334011716683616	0.409457717977317	0.0196131381168158	1719.04146525844	TRUE
al2_101	0.05255524459268036	0.0541210667372086	0.0384345418719369	0.0697374706787147	0.00804063448473015	1697.47997890429	TRUE
al2_102	0.39986495475606515	0.393514908195019	0.38196603615425	0.405925766534302	0.00610423184976795	1632.18530390458	TRUE
al2_103	0.17107027079627926	0.1828773700924	0.159341272673021	0.208352899804874	0.0123130440828161	1801	TRUE
al2_11	0.16535829246931255	0.169302330694145	0.142942298352369	0.194091203172732	0.0130689888653884	1637.68390749257	TRUE
al2_12	0.039999884245603974	0.0507276026251539	0.0315097137577437	0.0716077077845989	0.0103582191604345	1334.54936359268	TRUE
al2_13	0.1674342087583064	0.165613972232978	0.157433267701148	0.172314536299582	0.00381307978484561	1801	TRUE
al2_14	0.19616059893325355	0.195259729545479	0.1659426258867	0.225787152219401	0.0156070337329017	1635.72169232166	TRUE
al2_15	0.37695641291544	0.34559601735119	0.285715266518886	0.405896639365299	0.0307360660682975	1801	TRUE
al2_16	0.16756489321552512	0.163548102061634	0.129076438557799	0.198899195941106	0.0182946717840018	1801	TRUE
al2_17	0.20382553940053916	0.202713022631803	0.184957878331154	0.220050808100479	0.00903632037144388	1551.86378703864	TRUE
al2_18	0.20773730615625993	0.176300319834022	0.136609370373137	0.216171236730143	0.0202549085542259	1801	TRUE
al2_19	0.22424863348573823	0.217118014450922	0.192727982871795	0.244889009624058	0.0134713828513267	1801	TRUE
al2_2	0.20434638111936262	0.225208721981997	0.189060782420271	0.265253437294379	0.0197726518087525	1801	TRUE
al2_20	0.05722498846728256	0.0619670249289018	0.0460413420549573	0.0795268701967734	0.00863282601798207	1547.47852728199	TRUE
al2_21	0.16530054441840564	0.105350701666433	0.0717892519319703	0.140047255197699	0.0174788358447743	1801	FALSE
al2_22	0.23309546766566464	0.23190273676071	0.224747936359898	0.2395632264452	0.00386731000049848	1623.74063380414	TRUE
al2_23	0.02357434532339492	0.0328323404243487	0.0210652076478606	0.0458777789905184	0.00650256721039164	1801	TRUE
al2_24	0.08640513186371358	0.0951336251808991	0.064792846470714	0.124349368273649	0.0152675195021631	1801	TRUE
al2_25	0.41645578091059154	0.405351856503376	0.385798694856628	0.425509675956967	0.0100242802868255	1623.40493749702	TRUE
al2_26	0.13720488657097918	0.16267092572555	0.124795141596656	0.200522824205663	0.0197663241759016	1801	TRUE
al2_27	0.5401787555170997	0.535637097107294	0.476577004375494	0.598651561660578	0.0308663424651229	1801	TRUE
al2_28	0.022492857324976596	0.024286758227457	0.0117035521695631	0.0392908777548028	0.00722245776274464	1771.21891498332	TRUE
al2_29	0.13220373086409473	0.130839436085446	0.104152738742785	0.158595696503523	0.0140863887594037	1801	TRUE
al2_3	0.2040048084676749	0.223481941451637	0.196119457796738	0.253232418683128	0.0150552490718768	1801	TRUE
al2_30	0.3200867249565542	0.294508042873337	0.238027858428862	0.341490703689038	0.0266179129560287	1721.47410626833	TRUE
al2_31	0.11392345449566936	0.10562457969807	0.0960500869965843	0.114618332242823	0.00472931279423579	1801	TRUE
al2_33	0.47883879207133423	0.491028469815078	0.442667342880341	0.540152486499404	0.0249623527665659	1731.55868201228	TRUE
al2_34	0.49842305198308773	0.509030891115037	0.491487153775339	0.52488419348072	0.00848002414760276	1452.18906176359	TRUE
al2_35	0.19351877802120349	0.197223380774173	0.188255998927205	0.20588795188574	0.00444237176449369	1602.79273154301	TRUE
al2_36	0.42863993269209383	0.461091999345843	0.404563027736214	0.512714793697913	0.0281648774638381	1745.53085304667	TRUE
al2_37	0.08019857854425219	0.0747294970207255	0.0636692407502251	0.0844019929832979	0.00533609296282758	1577.09184576447	TRUE
al2_38	0.10897050029143955	0.127664710829062	0.100499418252883	0.156395087668255	0.0145763909988579	1446.68310707404	TRUE
al2_39	0.11336355541373763	0.113006034702755	0.105060054347056	0.120700822227302	0.00404729158995807	1801	TRUE
al2_4	0.1968425056362769	0.195767688224076	0.173774103010179	0.218474910955281	0.0115106819971754	1801	TRUE
al2_40	0.4618018339002547	0.447187090286343	0.392336791899971	0.496474532246674	0.026848046229346	1801	TRUE
al2_41	0.2407149283310782	0.230794140244262	0.204784486051133	0.259476722647271	0.0140579828621464	1801	TRUE
al2_42	0.19203677565389765	0.205425357213631	0.163611866202407	0.251353713414779	0.0226123435905912	1724.60384557794	TRUE
al2_43	0.12262851863772295	0.0875071238332538	0.054607371222999	0.123069198625564	0.0177679978218441	1801	TRUE
al2_44	0.19743338685967185	0.21652041022695	0.178169592613319	0.248301989184905	0.0182499283983068	1659.6475350947	TRUE
al2_45	0.19501713857045497	0.183440489320533	0.144022597535728	0.222119132156406	0.0202226312246024	1801	TRUE
al2_46	0.3323754016966343	0.328813294395816	0.288169596868576	0.368341917424546	0.0210632425424007	1597.38318463666	TRUE
al2_47	0.5115938524213541	0.495890208317122	0.469773190515029	0.518269262002229	0.0125852651758551	1801	TRUE
al2_48	0.2745855562977084	0.252715261855166	0.223777158133327	0.286036402069329	0.0159491630326782	1801	TRUE
al2_49	0.3639429551754168	0.374041604336661	0.345539323050845	0.404306799409609	0.0149496319950966	1453.35820220727	TRUE
al2_5	0.2979963228003482	0.296384666640783	0.274088932707648	0.317596211239171	0.0112399553325365	1801	TRUE
al2_50	0.05018497323091895	0.0556271132189354	0.0493709853363711	0.0625318195729091	0.00340104429740247	1801	TRUE
al2_51	0.12597157247943278	0.118698996456522	0.10016235405808	0.141276718133691	0.0106241628428234	1801	TRUE
al2_52	0.24199171232573433	0.23144944069196	0.189455582311574	0.274684023923351	0.0222441392467747	1743.39578372321	TRUE
al2_53	0.42872533194469464	0.420694899231011	0.407662034452578	0.436565298312893	0.00742388367257986	1550.23586852172	TRUE
al2_54	0.15611971177858888	0.173559355172607	0.141708571206474	0.207584398356393	0.017025845054793	1630.62577788938	TRUE
al2_55	0.19323964857662015	0.193798807850835	0.183858634297987	0.203261983832671	0.00497495439220268	1676.89918148627	TRUE
al2_56	0.08783012389149664	0.0709049233783834	0.0401193476884226	0.101146375464933	0.0160831082019994	1624.03841033825	TRUE
al2_57	0.06262204129014268	0.0868548406159549	0.0594162516686075	0.118099817340806	0.0154646160437694	1801	TRUE
al2_58	0.4013944950191383	0.399066766383295	0.39237088882292	0.405222285851494	0.00330388293334133	1801	TRUE
al2_59	0.3635027585594089	0.353585904406067	0.324132808902141	0.385772819490734	0.0155972410196135	1801	TRUE
al2_6	0.42635734298193145	0.422781524557686	0.367327621906526	0.481356444202939	0.0294135597227444	1801	TRUE
al2_60	0.07707431517395996	0.0837520453753207	0.0583661662791879	0.110057422093045	0.0133695248916689	1719.57047897064	TRUE
al2_61	0.1332458872390508	0.131984494219915	0.124180428582933	0.140298747650746	0.0040511677631277	1760.57997983684	TRUE
al2_62	0.4267239097974102	0.424065995699064	0.414736723181958	0.433873289430834	0.00489572467751533	1487.59538163184	TRUE
al2_63	0.3573037399023834	0.360663864503302	0.311441180216673	0.413066054388588	0.0258348409177592	1801	TRUE
al2_64	0.22777043879367634	0.201382718765804	0.155448716603725	0.245012670080812	0.0233162387196214	1801	TRUE
al2_65	0.22650237265678558	0.225223468957716	0.182862317213239	0.260792163036659	0.020091899147435	1801	TRUE
al2_66	0.16569494707416643	0.157004113077023	0.126824849059418	0.191983223376683	0.0165778214661144	1801	TRUE
al2_67	0.19840211331108104	0.173289130744367	0.135848761369795	0.213236912955248	0.0199800841449632	1759.2909726554699	TRUE
al2_68	0.31571324529763467	0.303992221510043	0.281738454245846	0.323839101462492	0.0110261057291404	1704.62435309825	TRUE
al2_69	0.12654598623051597	0.117411386812918	0.0790140988612262	0.155550719994742	0.0199952843601023	1661.28212314985	TRUE
al2_70	0.08047413049961556	0.0833502709680871	0.0527613017149907	0.112007940395933	0.0156156264733842	1801	TRUE
al2_71	0.24150631025365588	0.24448231790838101	0.224038292894953	0.263292215205009	0.00996004344929306	1801	TRUE
al2_72	0.3523824715792244	0.365227703057868	0.325463982497217	0.411525160722076	0.022341834453075	1691.28511644545	TRUE
al2_73	0.11772278885603721	0.114786847936844	0.104031278906301	0.12434945626554	0.00523565464958422	1461.83417622229	TRUE
al2_74	0.3857447834636904	0.400872375295718	0.351114488513146	0.462428671927674	0.0282089898222134	1801	TRUE
al2_75	0.12290842955899377	0.141651753966134	0.10342474799466	0.177465139569234	0.0195968466879636	1754.46689643199	TRUE
al2_77	0.33145911940110817	0.36170091464693	0.312336420396543	0.410975409338054	0.0258871206426188	1801	TRUE
al2_78	0.274919268643827	0.268914279074872	0.223132043207234	0.322519003236144	0.0256189915270124	1339.50152394904	TRUE
al2_79	0.3762892442884516	0.366162216355231	0.335382199523687	0.397732328857791	0.0161153160274948	1741.159946756	TRUE
al2_8	0.15185973626038324	0.148349996496187	0.122408955054765	0.176360739829429	0.0141705866420741	1801	TRUE
al2_80	0.18419676263834708	0.176073614176485	0.150257156816474	0.199299509613384	0.0126919034972317	1801	TRUE
al2_81	0.565824689676084	0.573994868702408	0.540383897373875	0.608457178609149	0.0174277384877906	1619.74355387945	TRUE
al2_82	0.6207879492478492	0.579300945315077	0.530615105611119	0.634150621738722	0.0265513146992579	1801	TRUE
al2_83	0.4712263003120568	0.454166654825857	0.42358364392433	0.486207917833009	0.0160037470523931	1801	TRUE
al2_84	0.228896835302663	0.214827393885978	0.181363899114024	0.250750646646786	0.017758248865641	1779.9753504767	TRUE
al2_85	0.19557890324847962	0.23083605367092	0.182847807615547	0.288160021082517	0.0269478986436838	1475.99122823456	TRUE
al2_86	0.16870557483879856	0.151350388710746	0.12782211022012	0.173726415230929	0.0117091237420606	1541.96731809215	TRUE
al2_87	0.11985219815126506	0.120515839755774	0.114345511388155	0.126366217418014	0.003115421191357	1801	TRUE
al2_89	0.22580692413391243	0.274038882566703	0.218683705064967	0.330469233624138	0.0287452925026387	1728.93981599491	TRUE
al2_9	0.1428475373202193	0.141227401026423	0.133921783914125	0.147683351115743	0.00351935623290675	1392.36533092211	TRUE
al2_90	0.05669028396238016	0.0468990103016621	0.0276239802048486	0.067624883778677	0.0106493884309977	1766.17617962085	TRUE
al2_91	0.2250575984964286	0.235188264040192	0.210439292197977	0.2587208686687	0.0124971170176129	1722.79862557485	TRUE
al2_92	0.26642713568538867	0.227046181950764	0.189938350985468	0.267609820849645	0.0202351748661083	1767.93642748656	TRUE
al2_93	0.38871824993701787	0.388724587144619	0.375059028251415	0.400727064382593	0.00651960918782452	1795.45418894876	TRUE
al2_94	0.3096524000780455	0.289852228208192	0.25436137352021	0.322868406925987	0.0176272372148391	1769.213244904	TRUE
al2_95	0.3361905708403488	0.335384723805851	0.289734519713959	0.381351472399031	0.0231556723127844	1801	TRUE
al2_96	0.08023897435349224	0.108332846644969	0.0693530011865555	0.140955187543949	0.0184453064099905	1801	TRUE
al2_97	0.29191152046531016	0.292140723668472	0.269961202905307	0.315319779667004	0.0117077476197242	1506.39086880292	TRUE
al2_98	0.2712889959392748	0.266062171262211	0.225374888945492	0.30760561785307	0.0213819358256876	1638.78157874028	TRUE
al2_99	0.10076703387996974	0.100429985461126	0.0911634294649259	0.109797239428714	0.00477354824664538	1438.73491408179	TRUE
